"TimePeriod","GeoTypeDesc","GeoID","GeoRank","Geography","Asian alone (percent)","Black alone (percent)","Hispanic alone (percent)","Non-white (percent)","Total population","White alone (percent)"
"2017-21","UHF 42","101","4","Kingsbridge - Riverdale","3.7","11.3","45.6","64.2","96,643","35.8"
"2017-21","UHF 42","102","4","Northeast Bronx","3.5","56.6","27.7","91.8","212,012","8.2"
"2017-21","UHF 42","103","4","Fordham - Bronx Pk","4.2","20.2","66.8","93.5","271,446","6.5"
"2017-21","UHF 42","104","4","Pelham - Throgs Neck","8.4","19.4","53.3","84.4","308,864","15.6"
"2017-21","UHF 42","105","4","Crotona -Tremont","1.3","27.1","67.0","97.7","219,815","2.3"
"2017-21","UHF 42","106","4","High Bridge - Morrisania","1.0","33.5","61.0","97.6","220,270","2.4"
"2017-21","UHF 42","107","4","Hunts Point - Mott Haven","0.4","26.4","69.8","97.7","144,304","2.3"
"2017-21","UHF 42","201","4","Greenpoint","5.2","3.4","21.9","35.1","105,594","64.9"
"2017-21","UHF 42","202","4","Downtown - Heights - Slope","9.0","12.7","14.8","42.3","275,295","57.7"
"2017-21","UHF 42","203","4","Bedford Stuyvesant - Crown Heights","2.7","57.5","14.1","79.1","354,128","20.9"
"2017-21","UHF 42","204","4","East New York","4.4","50.5","37.7","96.1","205,414","3.9"
"2017-21","UHF 42","205","4","Sunset Park","35.9","3.0","41.9","82.8","122,085","17.2"
"2017-21","UHF 42","206","4","Borough Park","21.9","4.2","13.0","42.8","343,418","57.2"
"2017-21","UHF 42","207","4","East Flatbush - Flatbush","3.0","64.5","10.2","82.1","304,594","17.9"
"2017-21","UHF 42","208","4","Canarsie - Flatlands","4.9","63.3","9.3","81.6","212,409","18.4"
"2017-21","UHF 42","209","4","Bensonhurst - Bay Ridge","28.1","2.2","16.7","50.1","213,566","49.9"
"2017-21","UHF 42","210","4","Coney Island - Sheepshead Bay","18.7","6.5","12.0","41.1","302,072","58.9"
"2017-21","UHF 42","211","4","Williamsburg - Bushwick","5.5","24.1","39.6","72.7","231,221","27.3"
"2017-21","UHF 42","301","4","Washington Heights","3.4","10.6","63.9","80.7","272,205","19.3"
"2017-21","UHF 42","302","4","Central Harlem - Morningside Heights","5.7","47.1","25.3","82.1","183,460","17.9"
"2017-21","UHF 42","303","4","East Harlem","8.3","28.7","45.2","85.6","114,703","14.4"
"2017-21","UHF 42","304","4","Upper West Side","10.1","5.8","15.1","35.1","232,499","64.9"
"2017-21","UHF 42","305","4","Upper East Side","10.6","2.8","9.1","25.5","217,508","74.5"
"2017-21","UHF 42","306","4","Chelsea - Clinton","15.5","5.2","16.6","41.5","161,322","58.5"
"2017-21","UHF 42","307","4","Gramercy Park - Murray Hill","15.2","4.4","10.1","33.8","138,768","66.2"
"2017-21","UHF 42","308","4","Greenwich Village - SoHo","18.0","2.5","8.5","32.5","81,647","67.5"
"2017-21","UHF 42","309","4","Union Square - Lower East Side","24.6","6.6","20.4","55.3","191,254","44.7"
"2017-21","UHF 42","310","4","Lower Manhattan","21.9","5.9","8.7","41.4","64,008","58.6"
"2017-21","UHF 42","401","4","Long Island City - Astoria","18.3","4.9","23.9","51.9","210,647","48.1"
"2017-21","UHF 42","402","4","West Queens","26.6","4.6","51.6","85.0","472,404","15.0"
"2017-21","UHF 42","403","4","Flushing - Clearview","51.7","1.7","17.9","73.5","263,797","26.5"
"2017-21","UHF 42","404","4","Bayside - Little Neck","44.1","2.8","13.9","63.3","95,662","36.7"
"2017-21","UHF 42","405","4","Ridgewood - Forest Hills","17.7","2.3","29.2","52.7","272,026","47.3"
"2017-21","UHF 42","406","4","Fresh Meadows","37.0","7.7","17.8","65.6","101,723","34.4"
"2017-21","UHF 42","407","4","Southwest Queens","26.0","9.9","33.9","81.1","295,180","18.9"
"2017-21","UHF 42","408","4","Jamaica","18.9","48.6","17.2","93.1","327,755","6.9"
"2017-21","UHF 42","409","4","Southeast Queens","20.4","41.5","14.3","82.1","332,158","17.9"
"2017-21","UHF 42","410","4","Rockaways","3.9","34.4","23.3","65.3","135,797","34.7"
"2017-21","UHF 42","501","4","Port Richmond","7.2","24.7","35.6","70.8","71,589","29.2"
"2017-21","UHF 42","502","4","Stapleton - St. George","12.9","16.2","20.9","52.4","127,116","47.6"
"2017-21","UHF 42","503","4","Willowbrook","17.8","3.7","15.1","39.3","93,736","60.7"
"2017-21","UHF 42","504","4","South Beach - Tottenville","6.4","1.5","12.3","22.4","200,753","77.6"